numero_opportunidad,cliente,unidad_negocio,etapas,tipos,acv,tcv,margen_ganancia,regiones,territorios,industrias,fecha_creacion_oportunidad,fecha_cierre_oportunidad,edad_oferta,lead_source,numero_vendedor
OP-05979,CL-00808,BU-05,Won,TY-00,4308.55,4308.55,0.29,RE-02,TE-02,IN-48,2021-03-06,2021-03-06,0.0,LS-10,NV-1
OP-05980,CL-00742,BU-04,Won,TY-04,20864.93,20864.93,0.09,RE-02,TE-11,IN-35,2018-07-20,2018-08-01,12.0,LS-02,NV-3
OP-05981,CL-00808,BU-05,Won,TY-00,8471.25,8471.25,0.13,RE-02,TE-03,IN-33,2021-03-17,2021-03-17,0.0,LS-18,NV-1
OP-05982,CL-00742,BU-04,Won,TY-04,20864.93,20864.93,0.07,RE-02,TE-01,IN-54,2018-06-17,2018-07-15,28.0,LS-18,NV-0
OP-05983,CL-00808,BU-05,Won,TY-00,7530.0,7530.0,0.18,RE-02,TE-06,IN-44,2021-02-16,2021-02-16,0.0,LS-18,NV-3
OP-05984,CL-00808,BU-05,Won,TY-00,4692.63,4692.63,0.16,RE-02,TE-08,IN-52,2021-03-04,2021-03-04,0.0,LS-22,NV-0
OP-05985,CL-00742,BU-04,Won,TY-05,3260.15,3260.15,0.27,RE-02,TE-01,IN-50,2018-09-19,2018-09-19,0.0,LS-17,NV-4
OP-05986,CL-00808,BU-05,Won,TY-00,22344.95,22344.95,0.1,RE-02,TE-14,IN-01,2021-04-09,2021-04-09,0.0,LS-13,NV-3
OP-05987,CL-00742,BU-04,Won,TY-05,923.75,923.75,0.17,RE-02,TE-15,IN-39,2018-08-26,2018-08-26,0.0,LS-13,NV-1
OP-05988,CL-00808,BU-05,Won,TY-00,6941.71,6941.71,0.17,RE-02,TE-06,IN-56,2021-01-27,2021-01-27,0.0,LS-03,NV-3
OP-05989,CL-00742,BU-04,Won,TY-05,8150.36,8150.36,0.3,RE-02,TE-04,IN-03,2018-07-11,2018-07-11,0.0,LS-23,NV-4
OP-05990,CL-00808,BU-05,Won,TY-00,2633.16,2633.16,0.21,RE-02,TE-03,IN-54,2021-02-21,2021-02-21,0.0,LS-18,NV-4
OP-05991,CL-00742,BU-04,Won,TY-05,7824.35,7824.35,0.11,RE-02,TE-10,IN-02,2018-07-23,2018-07-23,0.0,LS-29,NV-0
OP-05992,CL-00808,BU-05,Won,TY-00,1266.99,1266.99,0.08,RE-02,TE-10,IN-24,2021-03-16,2021-03-16,0.0,LS-14,NV-2
OP-05993,CL-00742,BU-04,Won,TY-05,9454.42,9454.42,0.08,RE-02,TE-15,IN-07,2018-09-21,2018-09-21,0.0,LS-04,NV-4
OP-05994,CL-00808,BU-05,Won,TY-00,669.96,669.96,0.13,RE-02,TE-02,IN-38,2021-01-20,2021-01-20,0.0,LS-00,NV-0
OP-05995,CL-00742,BU-04,Won,TY-04,39121.75,39121.75,0.12,RE-02,TE-15,IN-19,2018-05-25,2018-06-30,36.0,LS-23,NV-4
OP-05996,CL-00808,BU-05,Won,TY-00,19742.9,19742.9,0.18,RE-02,TE-15,IN-43,2021-01-23,2021-01-23,0.0,LS-20,NV-4
OP-05997,CL-00742,BU-04,Won,TY-04,78243.5,78243.5,0.28,RE-02,TE-04,IN-45,2018-03-18,2018-07-22,126.0,LS-32,NV-2
OP-05998,CL-00808,BU-05,Won,TY-00,9675.03,9675.03,0.12,RE-02,TE-15,IN-62,2021-01-02,2021-01-02,0.0,LS-19,NV-0
OP-05999,CL-00742,BU-04,Won,TY-04,145854.77,145854.77,0.24,RE-02,TE-09,IN-48,2018-08-09,2018-08-09,0.0,LS-20,NV-4
OP-06000,CL-00808,BU-05,Won,TY-00,1863.05,1863.05,0.12,RE-02,TE-13,IN-22,2021-01-13,2021-01-13,0.0,LS-34,NV-2
OP-06001,CL-00742,BU-04,Won,TY-04,260811.67,260811.67,0.25,RE-02,TE-02,IN-47,2018-04-27,2018-08-16,111.0,LS-02,NV-4
OP-06002,CL-00808,BU-05,Won,TY-00,3652.2,3652.2,0.27,RE-02,TE-15,IN-19,2021-01-23,2021-01-23,0.0,LS-14,NV-3
OP-06003,CL-00742,BU-04,Won,TY-04,269614.06,269614.06,0.29,RE-02,TE-14,IN-64,2018-02-25,2018-08-11,167.0,LS-15,NV-4
OP-06004,CL-00808,BU-05,Won,TY-00,2757.63,2757.63,0.1,RE-02,TE-09,IN-61,2021-01-22,2021-01-22,0.0,LS-11,NV-3
OP-06005,CL-00742,BU-04,Won,TY-05,2430.91,2430.91,0.14,RE-02,TE-09,IN-00,2018-07-29,2018-07-29,0.0,LS-20,NV-4
OP-06006,CL-00808,BU-05,Won,TY-00,6579.99,6579.99,0.07,RE-02,TE-08,IN-04,2020-12-25,2020-12-25,0.0,LS-12,NV-4
OP-06007,CL-00742,BU-04,Won,TY-04,55993.0,55993.0,0.2,RE-02,TE-14,IN-07,2018-08-04,2018-08-16,12.0,LS-03,NV-3
OP-06008,CL-00808,BU-05,Won,TY-00,3949.75,3949.75,0.24,RE-02,TE-03,IN-04,2021-01-17,2021-01-17,0.0,LS-26,NV-2
OP-06009,CL-00742,BU-04,Won,TY-04,40839.34,40839.34,0.11,RE-02,TE-01,IN-37,2018-05-29,2018-06-16,18.0,LS-26,NV-0
